id,en,zh,pos,stage,difficulty
363,go,"去",v.,"小学",A1
364,"go boating","去划船",v.,"小学",A1
365,"go cycling","去骑自行车",v.,"小学",A1
366,"go for a walk","散步",v.,"小学",A1
367,"go home","回家",v.,"小学",A1
368,"go on a picnic","去野餐",v.,"小学",A1
369,"go shopping","购物",v.,"小学",A1
370,"go straight","直走",v.,"小学",A1
371,"go swimming","去游泳",v.,"小学",A1
372,"go to bed","去睡觉",v.,"小学",A1
373,"go to school","上学",v.,"小学",A1
374,goal,"射门",n.,"小学",A1
375,goat,"山羊",n.,"小学",A1
376,gold,"金子",n.,"小学",A1
377,good,"好的",adj.,"小学",A1
378,"goodbye (bye)","再见",interj./n.,"小学",A1
379,GPS,"全球定位系统",n.,"小学",A1
380,grandfather,"祖父",n.,"小学",A1
381,"grandfather (grandpa)","（外）祖父",n.,"小学",A1
382,grandma,"奶奶",n.,"小学",A1
383,grandmother,"祖母",n.,"小学",A1
384,"grandmother (grandma)","（外）祖母",n.,"小学",A1
385,grandpa,"爷爷",n.,"小学",A1
386,grape,"葡萄",n.,"小学",A1
387,grass,"草；草地",n.,"小学",A1
388,great,"伟大的；好极了",adj.,"小学",A1
389,green,"绿色（的）",adj./n.,"小学",A1
390,"green beans","豆角",n.,"小学",A1
391,guitar,"吉他",n.,"小学",A1
392,gym,"体育馆",n.,"小学",A1
393,had,"有（过去式）",v.,"小学",A1
394,"had a cold","感冒",v.,"小学",A1
395,hair,"头发",n.,"小学",A1
396,half,"一半（的）",n./adj.,"小学",A1
397,hall,"大厅",n.,"小学",A1
398,hamburger,"汉堡包",n.,"小学",A1
399,hand,"手；传递",n./v.,"小学",A1
400,happy,"快乐的",adj.,"小学",A1
401,hard,"坚硬的；困难的；努力地",adj./adv.,"小学",A1
402,hard-working,"勤奋的",adj.,"小学",A1
403,hat,"帽子",n.,"小学",A1
404,"have (has)","有；吃；喝；进行",v.,"小学",A1
405,"have a look","看一看",v.,"小学",A1
406,have...class,"上课",v.,"小学",A1
407,having...class,"上课",v.,"小学",A1
408,he,"他",pron.,"小学",A1
409,head,"头",n.,"小学",A1
410,"head teacher","校长",n.,"小学",A1
411,healthy,"健康的",adj.,"小学",A1
412,hear,"听见",v.,"小学",A1
413,heavier,"更重的",adj.,"小学",A1
414,heavy,"重的",adj.,"小学",A1
415,hello,"喂，你好",interj.,"小学",A1
416,helmet,"头盔",n.,"小学",A1
417,help,"帮助",v./n.,"小学",A1
418,helpful,"有帮助的",adj.,"小学",A1
419,hen,"母鸡",n.,"小学",A1
420,her,"她的；她（宾格）",pron.,"小学",A1
421,here,"这里",adv.,"小学",A1
422,hero,"英雄",n.,"小学",A1
423,hers,"她的",pron.,"小学",A1
424,hi,"嗨",interj.,"小学",A1
425,high,"高的",adj.,"小学",A1
426,hiking,"远足",n.,"小学",A1
427,hill,"小山",n.,"小学",A1
428,him,"他（宾格）",pron.,"小学",A1
429,his,"他的",pron.,"小学",A1
430,hobby,"爱好",n.,"小学",A1
431,hole,"洞",n.,"小学",A1
432,holiday,"假日，假期",n.,"小学",A1
433,home,"家；在家，回家",n./adv.,"小学",A1
434,hometown,"家乡",n.,"小学",A1
435,homework,"作业",n.,"小学",A1
436,honey,"蜂蜜",n.,"小学",A1
437,horse,"马",n.,"小学",A1
438,hospital,"医院",n.,"小学",A1
439,hot,"热的",adj.,"小学",A1
440,"hot dog","热狗",n.,"小学",A1
441,hotel,"旅馆",n.,"小学",A1
442,hour,"小时",n.,"小学",A1
443,house,"房子",n.,"小学",A1
444,how,"怎样，如何；多么",adv.,"小学",A1
445,"how much","多少钱",phr.,"小学",A1
446,hungry,"饥饿的",adj.,"小学",A1
447,hurry,"匆忙，赶快",v./n.,"小学",A1
448,"hurry up","快点",v.,"小学",A1
449,hurt,"（使）疼痛；伤害",v.,"小学",A1
450,I,"我",pron.,"小学",A1
451,"ice cream","冰淇淋",n.,"小学",A1
452,ice-skate,"滑冰",v.,"小学",A1
453,idea,"主意，想法",n.,"小学",A1
454,if,"如果",conj.,"小学",A1
455,ill,"生病的",adj.,"小学",A1
