head_word,is_primary,is_middle,is_high,is_zhongkao,is_gaokao,is_cet4,is_cet6,is_kaoyan,is_ielts,is_toefl,is_gre,is_gmat,is_sat,is_bec,is_level4,is_level8,is_phonetic_filled,phonetic_source
accusation,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,origin
accusatory,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,origin
accuse,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,origin
accuse…of,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,fuzzy:accuse
accustom,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,origin
accustomed,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,origin
accustomed to,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,fuzzy:accustomed
ace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,origin
acedia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,origin
acerbic,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,origin
acerbity,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,origin
acetate,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,origin
ache,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,origin
achievable,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,origin
achieve,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,origin
achievement,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,origin
achingly,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,origin
achondrite,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,origin
achromatic,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,origin
acid,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,origin
acidic,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,origin
acidify,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,origin
acidity,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,origin
acidulous,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,origin
acknowledge,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,origin
acknowledgement,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,origin
acme,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,origin
acne,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,origin
acolyte,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,origin
acorn,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,origin
acoustic,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,origin
acoustical,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,origin
acoustics,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,origin
acquaint,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,origin
acquaintance,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,origin
acquainted,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,origin
acquiesce,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,origin
acquiescence,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,origin
acquiescent,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,origin
acquire,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,origin
acquired,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,origin
acquisition,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,origin
